tmpfs,1587,2,1585,1%,/run,Tue Jun 11 04:34:18 PM CDT 2024
tmpfs,7933,11,7923,1%,/dev/shm,Tue Jun 11 04:34:18 PM CDT 2024
tmpfs,5,1,5,1%,/run/lock,Tue Jun 11 04:34:18 PM CDT 2024
/dev/sda1,511,7,505,2%,/boot/efi,Tue Jun 11 04:34:18 PM CDT 2024
tmpfs,1587,2,1585,1%,/run/user/1000,Tue Jun 11 04:34:18 PM CDT 2024
