Mem:,15Gi,3.2Gi,10Gi,616Mi,,Tue Jun 11 04:34:19 PM CDT 2024
Swap:,2.0Gi,1.3Gi,751Mi,,,Tue Jun 11 04:34:19 PM CDT 2024
